sigla, GVA_TOTAL 
GO,590854.5283333332
MG,407471.01974208653
PA,725228.8162500003
CE,586290.5229891303
BA,489655.5359952038
PR,602736.6597243099
SC,663804.5929830503
PE,660276.0532432431
TO,186310.98402877702
MA,193425.857327189
RN,279081.6806586828
PI,152546.58370535722
RS,592719.7047484914
MT,538126.9768794328
AC,565310.6604545454
SP,2378915.299441861
ES,1061572.252948718
AL,376059.09901960776
PB,178486.18802690587
MS,858670.0256962025
RO,673567.7830769231
RR,652724.6106666666
AM,1203193.1911290318
AP,822486.769375
SE,431652.258
RJ,5497954.799999998
DF,206351521.16
