sigla,GDP
GO,643095.3775609758
MG,531433.5888042193
PA,833571.5215972222
CE,715485.0721195649
BA,579093.0782733809
PR,672243.4265413531
SC,692918.0992881358
PE,792169.223243243
TO,152157.1018705036
MA,178103.1801382489
RN,332347.7780838323
PI,171766.81767857142
RS,577052.7619517099
MT,687867.150283688
AC,216227.86045454544
SP,2737559.211379846
ES,1278811.4423076927
AL,445615.1690196079
PB,245488.2444843047
MS,1001102.5031645568
RO,406847.41230769234
RR,128443.04066666667
AM,1359761.9848387095
AP,876590.1924999999
SE,457963.9201333335
RJ,6682954.210543477
DF,235497106.59
