sigla,IDHM
GO,0.6949918699186992
MG,0.6678745603751463
PA,0.5816573426573426
CE,0.6167119565217388
BA,0.5940359712230218
PR,0.7019974937343358
SC,0.7316006825938557
PE,0.5962756756756757
TO,0.6398848920863307
MA,0.5761705069124423
RN,0.6109041916167665
PI,0.5711964285714279
RS,0.713558467741936
MT,0.6840709219858156
AC,0.5864090909090909
SP,0.739564341085272
ES,0.6920000000000002
AL,0.5635392156862744
PB,0.5877713004484301
MS,0.6795384615384614
RO,0.6441346153846156
RR,0.6100666666666666
AM,0.5652258064516127
AP,0.643125
SE,0.5971066666666668
RJ,0.7088478260869565
DF,0.82
