sigla,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao
GO,0.684040650406504,0.8254878048780487,0.5960731707317073
MG,0.651966002344666,0.8238100820633062,0.5568276670574447
PA,0.5723566433566433,0.7744825174825175,0.4486643356643357
CE,0.5592934782608696,0.7613423913043478,0.5521195652173911
BA,0.5747434052757789,0.7595827338129498,0.4818872901678657
PR,0.6919498746867168,0.8204511278195489,0.6110451127819548
SC,0.7280375426621161,0.8469658703071666,0.6365221843003414
PE,0.5743783783783782,0.7556594594594599,0.490556756756757
TO,0.6104964028776977,0.7897697841726619,0.5457769784172662
MA,0.5316635944700461,0.7406036866359442,0.4886221198156683
RN,0.5803952095808385,0.7627604790419159,0.5164730538922158
PI,0.5468125,0.7495401785714286,0.456691964285714
RS,0.7221149193548383,0.84042943548387,0.6007137096774191
MT,0.6821489361702127,0.8173262411347514,0.5769929078014187
AC,0.5854545454545456,0.766590909090909,0.4522272727272728
SP,0.7164868217054269,0.835992248062015,0.6763364341085273
ES,0.6806282051282051,0.8257435897435897,0.5913589743589741
AL,0.5483627450980393,0.7395392156862743,0.4427450980392158
PB,0.5643811659192828,0.7557354260089685,0.47741255605381194
MS,0.687846153846154,0.8214487179487177,0.5574102564102567
RO,0.6581730769230768,0.788826923076923,0.5164230769230771
RR,0.5778666666666666,0.7980666666666667,0.4992
AM,0.5451129032258064,0.7655483870967743,0.43693548387096764
AP,0.6188750000000001,0.7839375,0.5499375000000001
SE,0.5771466666666666,0.7558266666666666,0.4897333333333333
RJ,0.7045652173913046,0.8160978260869567,0.6209021739130436
DF,0.863,0.873,0.742
