sigla,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U
GO,2104.0,483.0,15389.0,57.0,461.0,8046.0,73971.0,7163.0,8999.0,2749.0,2362.0,2288.0,8103.0,11851.0,1018.0,5450.0,5570.0,1787.0,7078.0,0.0,0.0
MG,4543.0,2539.0,48594.0,204.0,1084.0,25181.0,214361.0,27293.0,34534.0,10973.0,7882.0,8190.0,31195.0,44986.0,2347.0,17854.0,22704.0,7637.0,34898.0,0.0,3.0
PA,719.0,184.0,4740.0,6.0,152.0,3263.0,34387.0,2111.0,3232.0,834.0,444.0,511.0,2725.0,3871.0,466.0,4250.0,2736.0,675.0,4072.0,0.0,3.0
CE,1045.0,227.0,12348.0,83.0,342.0,5675.0,60538.0,3094.0,7464.0,1987.0,1192.0,1695.0,5311.0,9201.0,618.0,6081.0,4128.0,1580.0,10425.0,0.0,1.0
BA,1997.0,576.0,13447.0,102.0,506.0,9176.0,107183.0,7037.0,13648.0,3225.0,1762.0,2603.0,10045.0,16895.0,1101.0,10922.0,11366.0,2790.0,16088.0,0.0,3.0
PR,3792.0,547.0,40560.0,196.0,1095.0,22464.0,164547.0,25776.0,23344.0,9517.0,6669.0,7423.0,22538.0,32054.0,1267.0,12142.0,15891.0,5071.0,20788.0,0.0,9.0
SC,1731.0,459.0,38358.0,364.0,770.0,16501.0,98594.0,17356.0,18035.0,6029.0,4226.0,6889.0,14634.0,24077.0,1151.0,7170.0,7781.0,4622.0,14990.0,0.0,3.0
PE,861.0,159.0,11124.0,68.0,302.0,4753.0,53764.0,3751.0,7666.0,2196.0,1317.0,1512.0,5675.0,11352.0,860.0,5750.0,4106.0,1399.0,7668.0,0.0,7.0
TO,409.0,112.0,1367.0,26.0,63.0,1222.0,12068.0,822.0,1347.0,313.0,200.0,402.0,1523.0,1241.0,493.0,747.0,943.0,250.0,1518.0,0.0,0.0
MA,614.0,103.0,2986.0,10.0,168.0,2648.0,34247.0,1499.0,2687.0,714.0,318.0,492.0,1972.0,2949.0,505.0,3080.0,2322.0,594.0,4292.0,0.0,0.0
RN,594.0,215.0,4020.0,89.0,159.0,3495.0,22711.0,1184.0,3629.0,761.0,461.0,886.0,2285.0,4156.0,477.0,2450.0,1983.0,809.0,3362.0,0.0,0.0
PI,393.0,103.0,2747.0,15.0,120.0,1675.0,22723.0,862.0,2167.0,527.0,173.0,267.0,1396.0,1951.0,629.0,2188.0,2221.0,451.0,3253.0,0.0,0.0
RS,2646.0,1013.0,46914.0,170.0,901.0,22026.0,159743.0,25711.0,22853.0,8893.0,6846.0,6825.0,23322.0,40381.0,1567.0,12055.0,13082.0,7413.0,25079.0,0.0,15.0
MT,1946.0,350.0,6974.0,117.0,284.0,4452.0,37622.0,5797.0,4962.0,1323.0,1090.0,935.0,4444.0,4713.0,557.0,2633.0,3112.0,786.0,4214.0,0.0,0.0
AC,82.0,18.0,565.0,4.0,25.0,372.0,3905.0,185.0,543.0,102.0,39.0,55.0,289.0,369.0,106.0,723.0,303.0,107.0,549.0,0.0,1.0
SP,73936.0,1079.0,109616.0,463.0,2955.0,71384.0,528991.0,71350.0,101028.0,64869.0,38587.0,30702.0,98147.0,166566.0,1887.0,46371.0,55830.0,18358.0,68926.0,0.0,68.0
ES,573.0,681.0,8540.0,13.0,259.0,4912.0,39829.0,3917.0,6440.0,1782.0,1416.0,1446.0,5959.0,9204.0,318.0,3387.0,3996.0,1343.0,6816.0,0.0,0.0
AL,248.0,44.0,1897.0,6.0,114.0,1492.0,17777.0,1779.0,2601.0,546.0,322.0,395.0,1543.0,2433.0,293.0,1950.0,1255.0,387.0,2197.0,0.0,0.0
PB,370.0,136.0,3956.0,14.0,129.0,3293.0,25915.0,922.0,2612.0,860.0,385.0,644.0,1928.0,4761.0,650.0,2982.0,1787.0,693.0,4729.0,0.0,0.0
MS,1458.0,141.0,4070.0,23.0,210.0,2826.0,27219.0,4086.0,3982.0,1214.0,616.0,833.0,3405.0,3952.0,302.0,1812.0,2558.0,948.0,3990.0,0.0,1.0
RO,274.0,134.0,2576.0,32.0,94.0,1244.0,14606.0,1365.0,1661.0,435.0,283.0,238.0,1275.0,1521.0,201.0,899.0,1182.0,271.0,2112.0,0.0,0.0
RR,40.0,9.0,295.0,2.0,13.0,312.0,3012.0,139.0,473.0,75.0,34.0,54.0,253.0,298.0,67.0,219.0,196.0,65.0,338.0,0.0,2.0
AM,121.0,17.0,1943.0,17.0,117.0,1468.0,13778.0,1222.0,1629.0,475.0,215.0,225.0,1570.0,2089.0,243.0,1627.0,1283.0,267.0,1621.0,0.0,5.0
AP,27.0,17.0,372.0,3.0,19.0,413.0,3850.0,154.0,443.0,70.0,32.0,47.0,286.0,370.0,69.0,596.0,254.0,82.0,371.0,0.0,0.0
SE,165.0,90.0,2156.0,7.0,47.0,1282.0,12458.0,1014.0,1721.0,509.0,252.0,365.0,1481.0,2327.0,334.0,1381.0,1341.0,493.0,2367.0,0.0,0.0
RJ,739.0,837.0,20266.0,261.0,785.0,16693.0,121391.0,10603.0,26743.0,13587.0,7973.0,6741.0,27682.0,52284.0,480.0,14710.0,16921.0,7753.0,29299.0,0.0,36.0
DF,242.0,42.0,3269.0,22.0,130.0,4685.0,29018.0,2157.0,6788.0,3254.0,1527.0,1670.0,6717.0,10346.0,204.0,3043.0,5363.0,1197.0,6403.0,0.0,123.0
